                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.3473,                  3.623,                 4.2278,                0.00301,                0.33721,                0.01465,                 0.0039,                 2.9369,                 3.7255,                 4.1585,                0.00012,                0.00012,                0.00012
                      2,                 3.2509,                 3.5823,                 4.1907,                0.00306,                0.34109,                 0.0232,                0.00581,                 2.9356,                  3.729,                  4.156,              0.0001742,              0.0001742,              0.0001742
                      3,                 3.5155,                 3.5281,                   4.17,                0.00313,                0.34884,                0.07066,                0.01758,                 2.9346,                 3.7321,                 4.1526,               0.000136,               0.000136,               0.000136
